participant_id,expertise_level,trial_id,fixation_id,ecg_lead,diagnostic_phase,duration_ms
E004,expert,T004,6,V3,T-wave-Examination,242
E004,expert,T004,7,aVF,ST-segment-Evaluation,272
E004,expert,T004,8,V4,ST-segment-Evaluation,216
E004,expert,T004,9,V5,T-wave-Examination,345
E004,expert,T004,10,aVF,Lead-by-Lead-Review,340
E004,expert,T004,11,II,ST-segment-Evaluation,170
E004,expert,T004,12,V2,ST-segment-Evaluation,230
E004,expert,T004,13,II,ST-segment-Evaluation,321
E004,expert,T004,14,V3,T-wave-Examination,237
E004,expert,T004,15,V5,QT-interval-Measurement,335
E004,expert,T004,16,V4,QT-interval-Measurement,249
E004,expert,T004,17,V4,QT-interval-Measurement,315
E004,expert,T004,18,V5,Lead-by-Lead-Review,273
E005,expert,T005,1,II,Rhythm-Check,227
E005,expert,T005,2,aVF,Axis-Determination,249
E005,expert,T005,3,V1,QRS-Analysis,193
E005,expert,T005,4,V2,ST-segment-Evaluation,233
E005,expert,T005,5,V6,ST-segment-Evaluation,308
E005,expert,T005,6,I,T-wave-Examination,337
E005,expert,T005,7,II,T-wave-Examination,276
E005,expert,T005,8,V5,T-wave-Examination,225
E005,expert,T005,9,V4,QT-interval-Measurement,286
E005,expert,T005,10,II,QT-interval-Measurement,254
E005,expert,T005,11,V3,T-wave-Examination,267
E005,expert,T005,12,II,QT-interval-Measurement,176
E005,expert,T005,13,V1,Lead-by-Lead-Review,243
E005,expert,T005,14,V4,QRS-Analysis,233
E005,expert,T005,15,V3,ST-segment-Evaluation,301
E005,expert,T005,16,aVL,T-wave-Examination,236
E005,expert,T005,17,I,T-wave-Examination,172
E005,expert,T005,18,I,QT-interval-Measurement,357
E005,expert,T005,19,V5,QT-interval-Measurement,282
E005,expert,T005,20,I,Lead-by-Lead-Review,241
E005,expert,T005,21,V3,Lead-by-Lead-Review,249
E005,expert,T005,22,V3,ST-segment-Evaluation,184
E005,expert,T005,23,II,ST-segment-Evaluation,305
E005,expert,T005,24,III,ST-segment-Evaluation,260
E005,expert,T005,25,V3,Lead-by-Lead-Review,251
E005,expert,T005,26,V6,Lead-by-Lead-Review,291
E005,expert,T005,27,V4,QRS-Analysis,177
E005,expert,T005,28,V5,T-wave-Examination,248
E006,expert,T006,1,I,Rhythm-Check,235
E006,expert,T006,2,aVL,Axis-Determination,233
E006,expert,T006,3,aVF,P-wave-Analysis,198
E006,expert,T006,4,V1,PR-interval-Assessment,189
E006,expert,T006,5,V1,PR-interval-Assessment,317
E006,expert,T006,6,V3,QRS-Analysis,310
E006,expert,T006,7,V5,QRS-Analysis,280
E006,expert,T006,8,V3,ST-segment-Evaluation,206
E006,expert,T006,9,V2,T-wave-Examination,299
E006,expert,T006,10,V5,T-wave-Examination,192
E006,expert,T006,11,II,QT-interval-Measurement,282
E006,expert,T006,12,V1,Lead-by-Lead-Review,228
E006,expert,T006,13,II,Lead-by-Lead-Review,201
E006,expert,T006,14,aVR,Lead-by-Lead-Review,253
E006,expert,T006,15,V1,QRS-Analysis,232
E006,expert,T006,16,V5,ST-segment-Evaluation,307
E006,expert,T006,17,I,T-wave-Examination,277
E006,expert,T006,18,II,QT-interval-Measurement,265
E006,expert,T006,19,aVF,Lead-by-Lead-Review,346
E006,expert,T006,20,V1,Rhythm-Check,268
E006,expert,T006,21,V1,Rhythm-Check,337
E006,expert,T006,22,II,Axis-Determination,240
E006,expert,T006,23,I,QRS-Analysis,203
E006,expert,T006,24,V2,QRS-Analysis,138
E006,expert,T006,25,V2,QRS-Analysis,281
E006,expert,T006,26,V5,ST-segment-Evaluation,317
E006,expert,T006,27,V1,Lead-by-Lead-Review,216
E007,expert,T007,1,V1,Rhythm-Check,187
E007,expert,T007,2,aVF,Axis-Determination,215
E007,expert,T007,3,aVF,Axis-Determination,230
E007,expert,T007,4,II,P-wave-Analysis,229
E007,expert,T007,5,II,P-wave-Analysis,228
E007,expert,T007,6,V5,PR-interval-Assessment,239
E007,expert,T007,7,II,QRS-Analysis,260
E007,expert,T007,8,V3,ST-segment-Evaluation,232
E007,expert,T007,9,V4,T-wave-Examination,183
E007,expert,T007,10,II,QT-interval-Measurement,237
E007,expert,T007,11,I,Lead-by-Lead-Review,233
E007,expert,T007,12,V5,Lead-by-Lead-Review,227
E007,expert,T007,13,V2,ST-segment-Evaluation,289
E007,expert,T007,14,V4,T-wave-Examination,323
E007,expert,T007,15,V5,QT-interval-Measurement,222
E007,expert,T007,16,I,Rhythm-Check,317
E007,expert,T007,17,I,Rhythm-Check,265
E007,expert,T007,18,I,Axis-Determination,313
E007,expert,T007,19,I,Rhythm-Check,236
E007,expert,T007,20,I,Axis-Determination,267
E007,expert,T007,21,I,P-wave-Analysis,294
E007,expert,T007,22,V5,QRS-Analysis,350
E007,expert,T007,23,V1,QRS-Analysis,279
E007,expert,T007,24,III,ST-segment-Evaluation,260
E007,expert,T007,25,V5,T-wave-Examination,291
E007,expert,T007,26,V4,QT-interval-Measurement,217
E007,expert,T007,27,I,T-wave-Examination,294
E008,expert,T008,1,aVF,Rhythm-Check,268
E008,expert,T008,2,II,Rhythm-Check,205
E008,expert,T008,3,II,Rhythm-Check,286
E008,expert,T008,4,I,Rhythm-Check,280
E008,expert,T008,5,V1,Rhythm-Check,180
E008,expert,T008,6,V1,Rhythm-Check,274
E008,expert,T008,7,I,P-wave-Analysis,238
E008,expert,T008,8,II,PR-interval-Assessment,222
E008,expert,T008,9,V4,QRS-Analysis,189
E008,expert,T008,10,III,ST-segment-Evaluation,326
E008,expert,T008,11,V4,Lead-by-Lead-Review,184
E008,expert,T008,12,V1,Lead-by-Lead-Review,278
E008,expert,T008,13,V1,QRS-Analysis,310
E008,expert,T008,14,V1,QRS-Analysis,306
E008,expert,T008,15,V3,QRS-Analysis,322
E008,expert,T008,16,III,ST-segment-Evaluation,294
E008,expert,T008,17,V4,T-wave-Examination,325
E008,expert,T008,18,V1,Lead-by-Lead-Review,286
E008,expert,T008,19,V3,QRS-Analysis,217
E008,expert,T008,20,V3,T-wave-Examination,252
E008,expert,T008,21,II,QT-interval-Measurement,166
E008,expert,T008,22,V6,Lead-by-Lead-Review,307
E008,expert,T008,23,V5,Lead-by-Lead-Review,165
E009,expert,T009,1,II,P-wave-Analysis,298
E009,expert,T009,2,V1,P-wave-Analysis,327
E009,expert,T009,3,II,PR-interval-Assessment,229
E009,expert,T009,4,V3,QRS-Analysis,196
E009,expert,T009,5,V6,Lead-by-Lead-Review,247
E009,expert,T009,6,V5,Lead-by-Lead-Review,256
E009,expert,T009,7,aVF,Rhythm-Check,241
E009,expert,T009,8,aVF,P-wave-Analysis,176
E009,expert,T009,9,II,Rhythm-Check,259
E009,expert,T009,10,aVF,Axis-Determination,218
E009,expert,T009,11,II,P-wave-Analysis,217
E009,expert,T009,12,II,PR-interval-Assessment,307
E009,expert,T009,13,II,PR-interval-Assessment,290
E009,expert,T009,14,V4,QRS-Analysis,234
E009,expert,T009,15,V4,ST-segment-Evaluation,198
E009,expert,T009,16,V4,T-wave-Examination,245
E009,expert,T009,17,II,QT-interval-Measurement,165
E009,expert,T009,18,II,Lead-by-Lead-Review,312
E009,expert,T009,19,V3,ST-segment-Evaluation,181
E009,expert,T009,20,I,Lead-by-Lead-Review,289
E009,expert,T009,21,V4,QRS-Analysis,257
E009,expert,T009,22,V5,ST-segment-Evaluation,345
E010,expert,T010,1,I,Axis-Determination,301
E010,expert,T010,2,III,P-wave-Analysis,155
E010,expert,T010,3,aVF,P-wave-Analysis,352
E010,expert,T010,4,II,Rhythm-Check,219
E010,expert,T010,5,aVF,P-wave-Analysis,278
E010,expert,T010,6,V5,PR-interval-Assessment,197
E010,expert,T010,7,V1,QRS-Analysis,242
E010,expert,T010,8,V2,ST-segment-Evaluation,224
E010,expert,T010,9,V2,T-wave-Examination,191
E010,expert,T010,10,II,ST-segment-Evaluation,214
E010,expert,T010,11,II,ST-segment-Evaluation,195
E010,expert,T010,12,V3,T-wave-Examination,176
E010,expert,T010,13,V4,ST-segment-Evaluation,234
E010,expert,T010,14,V6,Lead-by-Lead-Review,222
E010,expert,T010,15,V3,QRS-Analysis,213
E010,expert,T010,16,II,QRS-Analysis,311
E010,expert,T010,17,II,ST-segment-Evaluation,320
E010,expert,T010,18,II,ST-segment-Evaluation,222
E010,expert,T010,19,V6,Lead-by-Lead-Review,233
E010,expert,T010,20,V4,Lead-by-Lead-Review,231
E010,expert,T010,21,aVF,ST-segment-Evaluation,205
E010,expert,T010,22,V3,ST-segment-Evaluation,284
E010,expert,T010,23,II,T-wave-Examination,227
E010,expert,T010,24,V5,T-wave-Examination,207
E010,expert,T010,25,V5,QT-interval-Measurement,199
E010,expert,T010,26,V5,QT-interval-Measurement,253
E011,expert,T011,1,V5,Rhythm-Check,274
E011,expert,T011,2,aVF,Rhythm-Check,282
E011,expert,T011,3,II,Axis-Determination,264
E011,expert,T011,4,III,P-wave-Analysis,165
E011,expert,T011,5,II,PR-interval-Assessment,217
E011,expert,T011,6,V3,QRS-Analysis,141
E011,expert,T011,7,V3,ST-segment-Evaluation,208
E011,expert,T011,8,II,ST-segment-Evaluation,274
E011,expert,T011,9,V4,T-wave-Examination,282
E011,expert,T011,10,V3,T-wave-Examination,197
E011,expert,T011,11,I,QT-interval-Measurement,278
E011,expert,T011,12,V3,T-wave-Examination,177
E011,expert,T011,13,II,T-wave-Examination,271
E011,expert,T011,14,V5,QT-interval-Measurement,232
E011,expert,T011,15,I,T-wave-Examination,270
E011,expert,T011,16,II,QT-interval-Measurement,233
E011,expert,T011,17,II,QT-interval-Measurement,162
E011,expert,T011,18,V1,Lead-by-Lead-Review,208
E012,expert,T012,1,V1,Rhythm-Check,210
E012,expert,T012,2,I,Axis-Determination,186
E012,expert,T012,3,I,P-wave-Analysis,231
E012,expert,T012,4,II,PR-interval-Assessment,258
E012,expert,T012,5,II,PR-interval-Assessment,233
E012,expert,T012,6,V5,QRS-Analysis,264
E012,expert,T012,7,V1,QRS-Analysis,344
E012,expert,T012,8,V4,QRS-Analysis,234
E012,expert,T012,9,V1,Lead-by-Lead-Review,300
E012,expert,T012,10,V4,Lead-by-Lead-Review,233
E012,expert,T012,11,II,Lead-by-Lead-Review,213
E012,expert,T012,12,V3,Lead-by-Lead-Review,214
E012,expert,T012,13,II,Rhythm-Check,304
E012,expert,T012,14,II,Rhythm-Check,256
E012,expert,T012,15,aVL,Axis-Determination,233
E012,expert,T012,16,III,P-wave-Analysis,206
E012,expert,T012,17,III,P-wave-Analysis,250
E012,expert,T012,18,V1,PR-interval-Assessment,228
E012,expert,T012,19,V6,QRS-Analysis,280
E012,expert,T012,20,V4,ST-segment-Evaluation,227
E013,expert,T013,1,II,QRS-Analysis,304
E013,expert,T013,2,V6,QRS-Analysis,154
E013,expert,T013,3,aVF,Lead-by-Lead-Review,250
E013,expert,T013,4,V4,Lead-by-Lead-Review,318
E013,expert,T013,5,III,Lead-by-Lead-Review,291
E013,expert,T013,6,V3,QRS-Analysis,262
E013,expert,T013,7,V5,ST-segment-Evaluation,238
E013,expert,T013,8,V5,T-wave-Examination,301
E013,expert,T013,9,V5,QT-interval-Measurement,160
E013,expert,T013,10,V5,QT-interval-Measurement,318
E013,expert,T013,11,V6,Lead-by-Lead-Review,281
E013,expert,T013,12,V5,Lead-by-Lead-Review,306
E013,expert,T013,13,aVF,Lead-by-Lead-Review,231
E013,expert,T013,14,V1,QRS-Analysis,370
E013,expert,T013,15,V4,T-wave-Examination,310
E013,expert,T013,16,II,QT-interval-Measurement,246
E013,expert,T013,17,II,QT-interval-Measurement,236
E013,expert,T013,18,V5,Lead-by-Lead-Review,320
E013,expert,T013,19,I,QRS-Analysis,280
E013,expert,T013,20,III,ST-segment-Evaluation,211
E013,expert,T013,21,V4,T-wave-Examination,283
E013,expert,T013,22,II,QT-interval-Measurement,279
E013,expert,T013,23,II,QT-interval-Measurement,306
E013,expert,T013,24,II,Lead-by-Lead-Review,218
E013,expert,T013,25,V6,QRS-Analysis,227
E013,expert,T013,26,II,ST-segment-Evaluation,297
E013,expert,T013,27,V2,T-wave-Examination,219
E014,expert,T014,1,V1,Rhythm-Check,381
E014,expert,T014,2,II,P-wave-Analysis,208
E014,expert,T014,3,II,PR-interval-Assessment,236
E014,expert,T014,4,V1,QRS-Analysis,245
E014,expert,T014,5,V4,Lead-by-Lead-Review,224
E014,expert,T014,6,II,Lead-by-Lead-Review,179
E014,expert,T014,7,V2,Lead-by-Lead-Review,175
E014,expert,T014,8,V6,Lead-by-Lead-Review,248
E014,expert,T014,9,V4,ST-segment-Evaluation,242
E014,expert,T014,10,V3,Lead-by-Lead-Review,266
E014,expert,T014,11,aVL,Lead-by-Lead-Review,334
E014,expert,T014,12,II,Lead-by-Lead-Review,245
E014,expert,T014,13,V5,Lead-by-Lead-Review,185
E014,expert,T014,14,V2,Lead-by-Lead-Review,238
E014,expert,T014,15,V3,Lead-by-Lead-Review,288
E014,expert,T014,16,V2,Lead-by-Lead-Review,246
E014,expert,T014,17,aVL,Lead-by-Lead-Review,181
E014,expert,T014,18,V6,Lead-by-Lead-Review,204
E014,expert,T014,19,V1,Lead-by-Lead-Review,273
E014,expert,T014,20,V3,QRS-Analysis,250
E014,expert,T014,21,V3,ST-segment-Evaluation,306
E014,expert,T014,22,V2,T-wave-Examination,209
E014,expert,T014,23,V3,ST-segment-Evaluation,230
E014,expert,T014,24,V2,T-wave-Examination,324
E014,expert,T014,25,V3,T-wave-Examination,318
E014,expert,T014,26,V5,T-wave-Examination,274
E015,expert,T015,1,I,PR-interval-Assessment,236
E015,expert,T015,2,V3,QRS-Analysis,245
E015,expert,T015,3,V6,Lead-by-Lead-Review,243
E015,expert,T015,4,V6,Lead-by-Lead-Review,248
E015,expert,T015,5,I,Lead-by-Lead-Review,155
E015,expert,T015,6,V5,Lead-by-Lead-Review,212
E015,expert,T015,7,V1,Lead-by-Lead-Review,287
E015,expert,T015,8,aVL,Lead-by-Lead-Review,129
E015,expert,T015,9,V4,Lead-by-Lead-Review,246
E015,expert,T015,10,V4,Lead-by-Lead-Review,208
E015,expert,T015,11,II,Rhythm-Check,269
E015,expert,T015,12,II,Rhythm-Check,267
E015,expert,T015,13,II,Rhythm-Check,233
E015,expert,T015,14,aVF,Axis-Determination,262
E015,expert,T015,15,II,P-wave-Analysis,276
E015,expert,T015,16,V5,PR-interval-Assessment,312
E015,expert,T015,17,V2,QRS-Analysis,233
E015,expert,T015,18,V6,Lead-by-Lead-Review,238
E016,expert,T016,1,II,Rhythm-Check,219
E016,expert,T016,2,I,Axis-Determination,290
E016,expert,T016,3,V5,QRS-Analysis,306
E016,expert,T016,4,V6,QRS-Analysis,220
E016,expert,T016,5,aVF,ST-segment-Evaluation,167
E016,expert,T016,6,V4,T-wave-Examination,244
E016,expert,T016,7,V5,QT-interval-Measurement,283
E016,expert,T016,8,aVR,Lead-by-Lead-Review,246
E016,expert,T016,9,aVR,Lead-by-Lead-Review,345
E016,expert,T016,10,V6,QRS-Analysis,344
E016,expert,T016,11,V3,ST-segment-Evaluation,275
E016,expert,T016,12,II,T-wave-Examination,256
E016,expert,T016,13,V4,QT-interval-Measurement,298
E016,expert,T016,14,V5,Lead-by-Lead-Review,345
E016,expert,T016,15,V3,ST-segment-Evaluation,290
E016,expert,T016,16,V5,T-wave-Examination,297
E016,expert,T016,17,V4,QT-interval-Measurement,191
E016,expert,T016,18,V1,Lead-by-Lead-Review,293
E016,expert,T016,19,V2,Lead-by-Lead-Review,270
E016,expert,T016,20,V1,Rhythm-Check,232
E016,expert,T016,21,II,Axis-Determination,238
E016,expert,T016,22,II,Axis-Determination,316
E016,expert,T016,23,III,P-wave-Analysis,224
E016,expert,T016,24,V1,PR-interval-Assessment,251
E016,expert,T016,25,V5,QRS-Analysis,337
E016,expert,T016,26,aVF,ST-segment-Evaluation,170
E017,expert,T017,1,V1,Rhythm-Check,263
E017,expert,T017,2,aVL,Axis-Determination,190
E017,expert,T017,3,II,P-wave-Analysis,294
E017,expert,T017,4,V4,QRS-Analysis,248
E017,expert,T017,5,aVF,ST-segment-Evaluation,228
E017,expert,T017,6,V3,T-wave-Examination,225
E017,expert,T017,7,V4,Lead-by-Lead-Review,145
E017,expert,T017,8,V3,Lead-by-Lead-Review,176
E017,expert,T017,9,V5,Lead-by-Lead-Review,214
E017,expert,T017,10,aVR,Lead-by-Lead-Review,275
E017,expert,T017,11,V6,Lead-by-Lead-Review,238
E017,expert,T017,12,V2,QRS-Analysis,253
E017,expert,T017,13,V2,ST-segment-Evaluation,281
E017,expert,T017,14,V3,ST-segment-Evaluation,265
E017,expert,T017,15,V2,Lead-by-Lead-Review,209
E017,expert,T017,16,aVF,Rhythm-Check,235
E017,expert,T017,17,II,Rhythm-Check,234
E017,expert,T017,18,aVL,Axis-Determination,286
E017,expert,T017,19,V1,P-wave-Analysis,291
E017,expert,T017,20,V5,PR-interval-Assessment,308
E017,expert,T017,21,V6,QRS-Analysis,181
E017,expert,T017,22,V4,Lead-by-Lead-Review,319
E017,expert,T017,23,V2,Lead-by-Lead-Review,220
E017,expert,T017,24,V4,Lead-by-Lead-Review,227
E017,expert,T017,25,I,Rhythm-Check,226
E018,expert,T018,1,II,Rhythm-Check,303
E018,expert,T018,2,I,Axis-Determination,205
E018,expert,T018,3,I,Rhythm-Check,248
E018,expert,T018,4,II,Rhythm-Check,242
E018,expert,T018,5,V1,Rhythm-Check,273
E018,expert,T018,6,aVF,Axis-Determination,255
E018,expert,T018,7,I,P-wave-Analysis,254
E018,expert,T018,8,I,PR-interval-Assessment,268
E018,expert,T018,9,II,PR-interval-Assessment,205
E018,expert,T018,10,V4,QRS-Analysis,298
E018,expert,T018,11,II,ST-segment-Evaluation,201
E018,expert,T018,12,V1,QRS-Analysis,281
E018,expert,T018,13,aVL,T-wave-Examination,224
E018,expert,T018,14,V4,Lead-by-Lead-Review,210
E018,expert,T018,15,V1,Lead-by-Lead-Review,206
E018,expert,T018,16,V3,QRS-Analysis,241
E018,expert,T018,17,V1,QRS-Analysis,286
E018,expert,T018,18,II,ST-segment-Evaluation,220
E018,expert,T018,19,aVF,T-wave-Examination,287
E018,expert,T018,20,V4,T-wave-Examination,249
E019,expert,T019,1,V1,Rhythm-Check,199
E019,expert,T019,2,II,Axis-Determination,178
E019,expert,T019,3,V1,P-wave-Analysis,220
E019,expert,T019,4,II,PR-interval-Assessment,250
E019,expert,T019,5,V4,QRS-Analysis,241
E019,expert,T019,6,V3,QRS-Analysis,267
E019,expert,T019,7,V1,QRS-Analysis,154
E019,expert,T019,8,V4,QRS-Analysis,292
E019,expert,T019,9,V1,QRS-Analysis,211
E019,expert,T019,10,V2,QRS-Analysis,159
E019,expert,T019,11,V5,ST-segment-Evaluation,230
E019,expert,T019,12,V6,ST-segment-Evaluation,221
E019,expert,T019,13,V1,QRS-Analysis,285
E019,expert,T019,14,II,ST-segment-Evaluation,227
E019,expert,T019,15,V5,ST-segment-Evaluation,305
E019,expert,T019,16,II,ST-segment-Evaluation,351
E019,expert,T019,17,V4,T-wave-Examination,214
E019,expert,T019,18,II,Lead-by-Lead-Review,228
E020,expert,T020,1,III,P-wave-Analysis,227
E020,expert,T020,2,V1,PR-interval-Assessment,226
E020,expert,T020,3,V3,QRS-Analysis,356
E020,expert,T020,4,II,ST-segment-Evaluation,221
E020,expert,T020,5,aVL,T-wave-Examination,242
E020,expert,T020,6,V5,QT-interval-Measurement,209
E020,expert,T020,7,V6,Lead-by-Lead-Review,297
E020,expert,T020,8,V2,QRS-Analysis,251
E020,expert,T020,9,III,ST-segment-Evaluation,192
E020,expert,T020,10,III,ST-segment-Evaluation,257
E020,expert,T020,11,I,T-wave-Examination,292
E020,expert,T020,12,V2,ST-segment-Evaluation,245
E020,expert,T020,13,II,T-wave-Examination,175
E020,expert,T020,14,V4,T-wave-Examination,239
E020,expert,T020,15,I,T-wave-Examination,223
E020,expert,T020,16,II,T-wave-Examination,192
E020,expert,T020,17,V4,Lead-by-Lead-Review,308
E020,expert,T020,18,aVF,ST-segment-Evaluation,366
E020,expert,T020,19,aVL,T-wave-Examination,284
E020,expert,T020,20,II,T-wave-Examination,310
E020,expert,T020,21,V2,Lead-by-Lead-Review,311
E020,expert,T020,22,III,Lead-by-Lead-Review,204
E020,expert,T020,23,I,Lead-by-Lead-Review,268
E020,expert,T020,24,V3,Lead-by-Lead-Review,272
E021,expert,T021,1,III,ST-segment-Evaluation,295
E021,expert,T021,2,V5,T-wave-Examination,194
E021,expert,T021,3,II,T-wave-Examination,328
E021,expert,T021,4,aVL,T-wave-Examination,299
E021,expert,T021,5,V2,T-wave-Examination,283
E021,expert,T021,6,I,QT-interval-Measurement,261
E021,expert,T021,7,V4,Lead-by-Lead-Review,156
E021,expert,T021,8,III,Lead-by-Lead-Review,242
E021,expert,T021,9,II,Rhythm-Check,210
E021,expert,T021,10,I,Axis-Determination,295
E021,expert,T021,11,II,Axis-Determination,273
E021,expert,T021,12,III,P-wave-Analysis,203
E021,expert,T021,13,I,P-wave-Analysis,252
E021,expert,T021,14,II,PR-interval-Assessment,254
E021,expert,T021,15,II,Rhythm-Check,216
E021,expert,T021,16,II,Axis-Determination,310
E021,expert,T021,17,V1,P-wave-Analysis,284
E021,expert,T021,18,II,QRS-Analysis,271
E021,expert,T021,19,V2,QRS-Analysis,152
E021,expert,T021,20,I,T-wave-Examination,245
E021,expert,T021,21,II,QT-interval-Measurement,305
E021,expert,T021,22,II,QT-interval-Measurement,226
E021,expert,T021,23,II,T-wave-Examination,258
E021,expert,T021,24,II,QT-interval-Measurement,216
E021,expert,T021,25,II,QT-interval-Measurement,116
E022,expert,T022,1,II,Rhythm-Check,235
E022,expert,T022,2,aVF,Axis-Determination,161
E022,expert,T022,3,I,P-wave-Analysis,222
E022,expert,T022,4,II,PR-interval-Assessment,281
E022,expert,T022,5,II,PR-interval-Assessment,267
E022,expert,T022,6,V6,QRS-Analysis,315
E022,expert,T022,7,V3,ST-segment-Evaluation,196
E022,expert,T022,8,V5,QRS-Analysis,284
E022,expert,T022,9,V5,Lead-by-Lead-Review,287
E022,expert,T022,10,V4,Lead-by-Lead-Review,327
E022,expert,T022,11,aVF,Lead-by-Lead-Review,255
E022,expert,T022,12,V4,Lead-by-Lead-Review,315
E022,expert,T022,13,V2,QRS-Analysis,222
E022,expert,T022,14,V3,ST-segment-Evaluation,276
E022,expert,T022,15,V3,T-wave-Examination,228
E022,expert,T022,16,II,QT-interval-Measurement,341
E022,expert,T022,17,V2,Lead-by-Lead-Review,379
E022,expert,T022,18,V5,Lead-by-Lead-Review,285
E022,expert,T022,19,aVF,ST-segment-Evaluation,182
E023,expert,T023,1,III,ST-segment-Evaluation,275
E023,expert,T023,2,V5,T-wave-Examination,246
E023,expert,T023,3,II,T-wave-Examination,314
E023,expert,T023,4,V1,Lead-by-Lead-Review,250
E023,expert,T023,5,V3,ST-segment-Evaluation,334
E023,expert,T023,6,V4,T-wave-Examination,283
E023,expert,T023,7,I,QT-interval-Measurement,260
E023,expert,T023,8,V5,Lead-by-Lead-Review,275
E023,expert,T023,9,III,Lead-by-Lead-Review,222
E023,expert,T023,10,V6,Lead-by-Lead-Review,233
E023,expert,T023,11,V5,Lead-by-Lead-Review,287
E023,expert,T023,12,III,Lead-by-Lead-Review,251
E023,expert,T023,13,I,Lead-by-Lead-Review,311
E023,expert,T023,14,aVR,Lead-by-Lead-Review,265
E023,expert,T023,15,V3,Lead-by-Lead-Review,148
E023,expert,T023,16,V4,Lead-by-Lead-Review,192
E023,expert,T023,17,V3,Lead-by-Lead-Review,289
E023,expert,T023,18,V2,QRS-Analysis,308
E023,expert,T023,19,V6,QRS-Analysis,244
E023,expert,T023,20,V2,Lead-by-Lead-Review,320
E023,expert,T023,21,V6,Lead-by-Lead-Review,367
E023,expert,T023,22,II,Rhythm-Check,289
E023,expert,T023,23,I,Axis-Determination,248
E024,expert,T024,1,aVF,Rhythm-Check,187
E024,expert,T024,2,II,Rhythm-Check,200
E024,expert,T024,3,aVF,Rhythm-Check,218
E024,expert,T024,4,II,Axis-Determination,301
E024,expert,T024,5,III,P-wave-Analysis,239
E024,expert,T024,6,II,PR-interval-Assessment,231
